OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,HASC_1,CCN_1,CCA_1,TYPE_1,ENGTYPE_1,POPULATION
1,239,UGA,Uganda,1,Adjumani,UG.AD,NA,30,District,District,"215,312"
2,239,UGA,Uganda,2,Apac,UG.AC,NA,30,District,District,
3,239,UGA,Uganda,3,Arua,UG.AW,NA,30,District,District,"93,873"
4,239,UGA,Uganda,4,Bugiri,UG.BG,NA,20,District,District,
5,239,UGA,Uganda,5,Bundibugyo,UG.BN,NA,40,District,District,
6,239,UGA,Uganda,6,Bushenyi,UG.BS,NA,11,District,District,
7,239,UGA,Uganda,7,Busia,UG.BU,NA,20,District,District,
8,239,UGA,Uganda,8,Gulu,UG.GL,NA,30,District,District,
9,239,UGA,Uganda,9,Hoima,UG.HO,NA,40,District,District,
10,239,UGA,Uganda,10,Iganga,UG.IN,NA,20,District,District,
11,239,UGA,Uganda,11,Jinja,UG.JI,NA,20,District,District,
12,239,UGA,Uganda,12,Kabale,UG.KA,NA,22,District,District,
13,239,UGA,Uganda,13,Kabarole,UG.BR,NA,13,District,District,
14,239,UGA,Uganda,14,Kaberamaido,UG.KD,NA,21,District,District,
15,239,UGA,Uganda,15,Kalangala,UG.KN,NA,10,District,District,
16,239,UGA,Uganda,16,Kampala,UG.KM,NA,10,District,District,
17,239,UGA,Uganda,17,Kamuli,UG.KX,NA,20,District,District,
18,239,UGA,Uganda,18,Kamwenge,UG.KE,NA,41,District,District,
19,239,UGA,Uganda,19,Kanungu,UG.UU,NA,13,District,District,
20,239,UGA,Uganda,20,Kapchorwa,UG.KP,NA,20,District,District,
21,239,UGA,Uganda,21,Kasese,UG.KS,NA,11,District,District,
22,239,UGA,Uganda,22,Katakwi,UG.KK,NA,20,District,District,
23,239,UGA,Uganda,23,Kayunga,UG.KY,NA,11,District,District,
24,239,UGA,Uganda,24,Kibale,UG.KI,NA,10,District,District,
25,239,UGA,Uganda,25,Kiboga,UG.KG,NA,10,District,District,
26,239,UGA,Uganda,26,Kisoro,UG.KR,NA,40,District,District,
27,239,UGA,Uganda,27,Kitgum,UG.TG,NA,12,District,District,
28,239,UGA,Uganda,28,Kotido,UG.KF,NA,12,District,District,
29,239,UGA,Uganda,29,Kumi,UG.KU,NA,20,District,District,
30,239,UGA,Uganda,30,Kyenjojo,UG.KJ,NA,41,District,District,
31,239,UGA,Uganda,31,Lake Albert,,NA,,Water body,Water body,
32,239,UGA,Uganda,32,Lake Victoria,,NA,,Water body,Water body,
33,239,UGA,Uganda,33,Lira,UG.LA,NA,30,District,District,
34,239,UGA,Uganda,34,Luwero,UG.LW,NA,10,District,District,
35,239,UGA,Uganda,35,Masaka,UG.MA,NA,10,District,District,
36,239,UGA,Uganda,36,Masindi,UG.MC,NA,11,District,District,
37,239,UGA,Uganda,37,Mayuge,UG.MG,NA,21,District,District,
38,239,UGA,Uganda,38,Mbale,UG.ME,NA,20,District,District,
39,239,UGA,Uganda,39,Mbarara,UG.RR,NA,41,District,District,
40,239,UGA,Uganda,40,Moroto,UG.MT,NA,30,District,District,
41,239,UGA,Uganda,41,Moyo,UG.MY,NA,30,District,District,"77,864"
42,239,UGA,Uganda,42,Mpigi,UG.MI,NA,10,District,District,
43,239,UGA,Uganda,43,Mubende,UG.MD,NA,10,District,District,
44,239,UGA,Uganda,44,Mukono,UG.MN,NA,10,District,District,
45,239,UGA,Uganda,45,Nakapiripirit,UG.NP,NA,31,District,District,
46,239,UGA,Uganda,46,Nakasongola,UG.NA,NA,10,District,District,
47,239,UGA,Uganda,47,Nebbi,UG.NE,NA,31,District,District,
48,239,UGA,Uganda,48,Ntungamo,UG.NT,NA,41,District,District,
49,239,UGA,Uganda,49,Pader,UG.PD,NA,,District,District,
50,239,UGA,Uganda,50,Pallisa,UG.PL,NA,21,District,District,
51,239,UGA,Uganda,51,Rakai,UG.RA,NA,11,District,District,
52,239,UGA,Uganda,52,Rukungiri,UG.RK,NA,41,District,District,
53,239,UGA,Uganda,53,Sembabule,UG.SE,NA,11,District,District,
54,239,UGA,Uganda,54,Sironko,UG.SI,NA,21,District,District,
55,239,UGA,Uganda,55,Soroti,UG.SR,NA,21,District,District,
56,239,UGA,Uganda,56,Tororo,UG.TR,NA,21,District,District,
57,239,UGA,Uganda,57,Wakiso,UG.WA,NA,11,District,District,
58,239,UGA,Uganda,58,Yumbe,UG.YU,NA,,District,District,"269,561"
